Phylum,Assembly
Basidiomycota,GCA_027919835.1
Basidiomycota,GCA_028011355.1
Basidiomycota,GCA_027919855.1
Basidiomycota,GCA_028011325.1
Basidiomycota,GCA_027886325.1
Basidiomycota,GCA_027886635.1
Basidiomycota,GCA_027921425.1
Basidiomycota,GCA_027886305.1
Basidiomycota,GCA_030770125.1
Basidiomycota,GCA_030770075.1
Basidiomycota,GCA_015476405.1
Basidiomycota,GCA_030246715.1
Basidiomycota,GCA_030246695.1
Basidiomycota,GCA_028011485.1
Basidiomycota,GCA_001562095.1
Basidiomycota,GCA_001700625.1
Basidiomycota,GCA_027917475.1
Basidiomycota,GCA_027917485.1
Basidiomycota,GCA_027887095.1
Basidiomycota,GCA_027886755.1
Basidiomycota,GCA_002000105.1
Basidiomycota,GCA_002003045.1
Basidiomycota,GCA_004919705.1
Basidiomycota,GCA_002195965.1
Basidiomycota,GCA_002195955.1
Basidiomycota,GCA_027886465.1
Basidiomycota,GCA_027886345.1
Basidiomycota,GCA_027886315.1
Basidiomycota,GCA_027917355.1
Basidiomycota,GCA_027886495.1
Basidiomycota,GCA_027886735.1
Basidiomycota,GCA_027917365.1
Basidiomycota,GCA_027886695.1
Basidiomycota,GCA_027917575.1
Basidiomycota,GCA_003813185.1
Basidiomycota,GCA_000787475.1
Basidiomycota,GCA_003813205.1
Basidiomycota,GCA_022457215.2
Basidiomycota,GCA_013368445.1
Basidiomycota,GCA_001563735.1
Basidiomycota,GCA_000382605.1
Basidiomycota,GCA_021014945.1
Basidiomycota,GCA_025854295.1
Basidiomycota,GCA_026008595.1
Basidiomycota,GCA_014905825.1
Basidiomycota,GCA_018851285.1
Basidiomycota,GCA_026258425.1
Basidiomycota,GCA_001950495.1
Basidiomycota,GCA_036418075.1
Basidiomycota,GCA_001950515.1
Basidiomycota,GCA_015584085.1
Basidiomycota,GCA_003315915.1
Basidiomycota,GCA_029542845.1
Basidiomycota,GCA_029542905.1
Basidiomycota,GCA_029542785.1
Basidiomycota,GCF_029542785.1
Basidiomycota,GCA_029542925.1
Basidiomycota,GCF_029542925.1
Basidiomycota,GCA_029542985.1
Basidiomycota,GCA_029542945.1
Basidiomycota,GCA_029542805.1
Basidiomycota,GCA_029542765.1
Basidiomycota,GCA_029542965.1
Basidiomycota,GCA_029542885.1
Basidiomycota,GCA_003290485.1
Basidiomycota,GCF_003290485.1
Basidiomycota,GCA_009938135.1
Basidiomycota,GCA_029542865.1
Basidiomycota,GCA_029542825.1
Basidiomycota,GCA_001278385.1
Basidiomycota,GCF_001278385.1
Basidiomycota,GCA_000181695.2
Basidiomycota,GCF_000181695.2
Basidiomycota,GCA_010577765.1
Basidiomycota,GCA_001600775.1
Basidiomycota,GCA_000349305.2
Basidiomycota,GCF_000349305.1
Basidiomycota,GCA_004026415.1
Basidiomycota,GCA_010232095.1
Basidiomycota,GCA_900149155.1
Basidiomycota,GCA_900149135.1
Basidiomycota,GCA_900149165.1
Basidiomycota,GCA_900149175.1
Basidiomycota,GCA_900149145.1
Basidiomycota,GCA_003691605.1
Basidiomycota,GCA_024498975.1
Basidiomycota,GCA_014493585.1
Basidiomycota,GCA_001264765.1
Basidiomycota,GCA_000169275.1
Basidiomycota,GCA_001264975.1
Basidiomycota,GCA_001264805.1
Basidiomycota,GCA_020085095.1
Basidiomycota,GCA_001600835.1
Basidiomycota,GCA_001600795.1
Basidiomycota,GCA_001265015.1
Basidiomycota,GCA_001264785.1
Basidiomycota,GCA_001264635.1
Basidiomycota,GCA_001264685.1
Basidiomycota,GCA_001264665.1
Basidiomycota,GCA_001264625.1
Basidiomycota,GCA_001264985.1
Basidiomycota,GCA_001264965.1
Basidiomycota,GCA_001264725.1
Basidiomycota,GCA_001264925.1
Basidiomycota,GCA_001264715.1
Basidiomycota,GCA_001264705.1
Basidiomycota,GCA_036584375.1
Basidiomycota,GCA_036584425.1
Basidiomycota,GCA_036584355.1
Basidiomycota,GCA_036584385.1
Basidiomycota,GCA_001264795.1
Basidiomycota,GCA_001264815.1
Basidiomycota,GCA_023079145.1
Basidiomycota,GCA_023510035.1
Basidiomycota,GCA_023079135.1
Basidiomycota,GCA_023510055.1
Basidiomycota,GCA_023079155.1
Basidiomycota,GCA_023373805.1
Basidiomycota,GCA_002818225.1
Basidiomycota,GCA_023079105.1
Basidiomycota,GCA_001265045.1
Basidiomycota,GCA_001265065.1
Basidiomycota,GCA_001264885.1
Basidiomycota,GCA_937888505.1
Basidiomycota,GCA_963379355.1
Basidiomycota,GCA_937901775.1
Basidiomycota,GCA_963379255.1
Basidiomycota,GCA_963379345.1
Basidiomycota,GCA_937880085.1
Basidiomycota,GCA_030826665.1
Basidiomycota,GCA_937879915.1
Basidiomycota,GCA_963379265.1
Basidiomycota,GCA_030826685.1
Basidiomycota,GCA_023079125.1
Basidiomycota,GCA_002551515.1
Basidiomycota,GCA_001264895.1
Basidiomycota,GCA_001264875.1
Basidiomycota,GCA_001265055.1
Basidiomycota,GCA_001264865.1
Basidiomycota,GCA_023079165.1
Basidiomycota,GCA_002549865.1
Basidiomycota,GCA_018924745.1
Basidiomycota,GCF_018924745.1
Basidiomycota,GCA_014904975.1
Basidiomycota,GCA_029532415.1
Basidiomycota,GCA_024721195.1
Basidiomycota,GCA_025815895.1
Basidiomycota,GCA_003144205.1
Basidiomycota,GCF_003144205.1
Basidiomycota,GCA_001600355.1
Basidiomycota,GCA_000204055.1
Basidiomycota,GCF_000204055.1
Basidiomycota,GCA_002157005.1
Basidiomycota,GCA_002157035.1
Basidiomycota,GCA_022264835.1
Basidiomycota,GCA_002157025.1
Basidiomycota,GCA_002157085.1
Basidiomycota,GCA_002157015.1
Basidiomycota,GCA_000464645.1
Basidiomycota,GCA_014904935.1
Basidiomycota,GCA_001244265.2
Basidiomycota,GCA_022506055.1
Basidiomycota,GCA_022702605.1
Basidiomycota,GCA_022702645.1
Basidiomycota,GCA_003665825.1
Basidiomycota,GCA_900102585.1
Basidiomycota,GCA_014805725.1
Basidiomycota,GCA_900015445.1
Basidiomycota,GCA_003121365.1
Basidiomycota,GCA_003121355.1
Basidiomycota,GCA_900010185.1
Basidiomycota,GCA_900016715.1
Basidiomycota,GCA_900010235.1
Basidiomycota,GCA_900011535.1
Basidiomycota,GCA_900011195.1
Basidiomycota,GCA_900008665.1
Basidiomycota,GCA_900011025.1
Basidiomycota,GCA_900010535.1
Basidiomycota,GCA_900010705.1
Basidiomycota,GCA_900016725.1
Basidiomycota,GCA_900010545.1
Basidiomycota,GCA_900016685.1
Basidiomycota,GCA_900016695.1
Basidiomycota,GCA_900012385.1
Basidiomycota,GCA_900010715.1
Basidiomycota,GCA_900009975.1
Basidiomycota,GCA_900016705.1
Basidiomycota,GCA_900015465.1
Basidiomycota,GCA_000166175.1
Basidiomycota,GCA_022505985.1
Basidiomycota,GCA_900015485.1
Basidiomycota,GCA_022506005.1
Basidiomycota,GCA_022506025.1
Basidiomycota,GCA_900015965.1
Basidiomycota,GCA_900015455.1
Basidiomycota,GCA_900011735.1
Basidiomycota,GCA_022702585.1
