Phylum,Assembly
Basidiomycota,GCF_003144115.1
Basidiomycota,GCA_001302255.2
Basidiomycota,GCA_000271585.1
Basidiomycota,GCF_000271585.1
Basidiomycota,GCA_008973685.1
Basidiomycota,GCA_022606055.1
Basidiomycota,GCA_000765035.1
Basidiomycota,GCA_002092935.1
Basidiomycota,GCA_022606195.1
Basidiomycota,GCA_022606255.1
Basidiomycota,GCA_022606215.1
Basidiomycota,GCA_002964805.2
Basidiomycota,GCA_025528855.1
Basidiomycota,GCA_022606155.1
Basidiomycota,GCA_022385765.1
Basidiomycota,GCA_001304625.1
Basidiomycota,GCA_029747595.1
Basidiomycota,GCA_001895945.1
Basidiomycota,GCA_033439235.1
Basidiomycota,GCA_025201895.1
Basidiomycota,GCA_027596045.1
Basidiomycota,GCA_030411785.1
Basidiomycota,GCA_000787515.1
Basidiomycota,GCA_001939255.1
Basidiomycota,GCA_037041555.1
Basidiomycota,GCA_022385755.1
Basidiomycota,GCA_032768795.1
Basidiomycota,GCA_000271645.1
Basidiomycota,GCF_000271645.1
Basidiomycota,GCA_024343385.1
Basidiomycota,GCA_032464415.1
Basidiomycota,GCA_032767855.1
Basidiomycota,GCA_030708415.1
Basidiomycota,GCA_024343405.1
Basidiomycota,GCA_000987905.1
Basidiomycota,GCA_004117975.1
Basidiomycota,GCA_910574555.1
Basidiomycota,GCA_029959215.1
Basidiomycota,GCA_026075535.2
Basidiomycota,GCA_003313625.1
Basidiomycota,GCA_003316345.1
Basidiomycota,GCA_003313805.1
Basidiomycota,GCA_018854895.1
Basidiomycota,GCA_003521275.1
Basidiomycota,GCA_003314665.1
Basidiomycota,GCA_026213095.1
Basidiomycota,GCA_002939025.2
Basidiomycota,GCA_003314635.1
Basidiomycota,GCA_001652835.1
Basidiomycota,GCA_014904895.1
Basidiomycota,GCA_003313665.1
Basidiomycota,GCA_000293215.1
Basidiomycota,GCF_000293215.1
Basidiomycota,GCA_001752585.1
Basidiomycota,GCA_001752605.1
Basidiomycota,GCA_001752625.1
Basidiomycota,GCA_001752645.1
Basidiomycota,GCA_030347605.1
Basidiomycota,GCA_023630055.1
Basidiomycota,GCA_025529325.1
Basidiomycota,GCA_025529315.1
Basidiomycota,GCA_025529565.1
Basidiomycota,GCA_001972365.1
Basidiomycota,GCA_037177845.1
Basidiomycota,GCA_023630135.1
Basidiomycota,GCA_037044125.1
Basidiomycota,GCA_025529955.1
Basidiomycota,GCA_023630015.1
Basidiomycota,GCA_023630075.1
Basidiomycota,GCA_023630035.1
Basidiomycota,GCA_037041105.1
Basidiomycota,GCA_000299215.2
Basidiomycota,GCA_004023515.1
Basidiomycota,GCA_004011275.1
Basidiomycota,GCA_023627855.1
Basidiomycota,GCA_009833065.1
Basidiomycota,GCA_023627895.1
Basidiomycota,GCA_025502605.1
Basidiomycota,GCA_025502615.1
Basidiomycota,GCA_004026345.1
Basidiomycota,GCA_000827465.1
Basidiomycota,GCA_019633535.1
Basidiomycota,GCA_019632275.1
Basidiomycota,GCA_019633425.1
Basidiomycota,GCA_019633485.1
Basidiomycota,GCA_019632285.1
Basidiomycota,GCA_019633595.1
Basidiomycota,GCA_019632265.1
Basidiomycota,GCA_019632305.1
Basidiomycota,GCA_019633455.1
Basidiomycota,GCA_019633495.1
Basidiomycota,GCA_019632295.1
Basidiomycota,GCA_019633465.1
Basidiomycota,GCA_019633405.1
Basidiomycota,GCA_019633555.1
Basidiomycota,GCA_019633545.1
Basidiomycota,GCA_928724795.1
Basidiomycota,GCA_928724875.1
Basidiomycota,GCA_900080155.1
Basidiomycota,GCA_000328475.2
Basidiomycota,GCF_000328475.2
Basidiomycota,GCA_019972555.1
Basidiomycota,GCA_020827535.1
Basidiomycota,GCA_900519145.1
Basidiomycota,GCF_900519145.1
Basidiomycota,GCA_928865425.1
Basidiomycota,GCA_900242695.1
Basidiomycota,GCA_900323505.1
Basidiomycota,GCA_022963115.1
Basidiomycota,GCA_022963125.1
Basidiomycota,GCA_022963135.1
Basidiomycota,GCA_024271935.1
Basidiomycota,GCA_928869825.1
Basidiomycota,GCA_928722275.1
Basidiomycota,GCA_928856705.1
Basidiomycota,GCA_900242705.1
Basidiomycota,GCA_928722295.1
Basidiomycota,GCA_022749175.1
Basidiomycota,GCA_016617945.1
Basidiomycota,GCA_016617935.1
Basidiomycota,GCA_023748725.1
Basidiomycota,GCA_023748765.1
Basidiomycota,GCA_023748735.1
Basidiomycota,GCA_023748715.1
Basidiomycota,GCA_023748825.1
Basidiomycota,GCA_928722285.1
Basidiomycota,GCA_928722245.1
Basidiomycota,GCA_928722265.1
Basidiomycota,GCA_928743665.1
Basidiomycota,GCA_001599495.1
Basidiomycota,GCA_018154835.1
Basidiomycota,GCA_018154565.1
Basidiomycota,GCA_018154495.1
Basidiomycota,GCA_018154895.1
Basidiomycota,GCA_018154095.1
Basidiomycota,GCA_018154295.1
Basidiomycota,GCA_018154185.1
Basidiomycota,GCA_018154205.1
Basidiomycota,GCA_023212765.1
Basidiomycota,GCA_018154395.1
Basidiomycota,GCA_018154425.1
Basidiomycota,GCA_018153955.1
Basidiomycota,GCA_018153985.1
Basidiomycota,GCA_018154105.1
Basidiomycota,GCA_018154715.1
Basidiomycota,GCA_018154645.1
Basidiomycota,GCA_018154385.1
Basidiomycota,GCA_018154595.1
Basidiomycota,GCA_018154905.1
Basidiomycota,GCA_018154685.1
Basidiomycota,GCA_018154035.1
Basidiomycota,GCA_018154785.1
Basidiomycota,GCA_018154945.1
Basidiomycota,GCA_001736215.1
Basidiomycota,GCA_001736185.1
Basidiomycota,GCA_001662005.1
Basidiomycota,GCA_001660065.1
Basidiomycota,GCA_001736155.1
Basidiomycota,GCA_013387245.1
Basidiomycota,GCA_013387255.1
Basidiomycota,GCA_000819925.1
Basidiomycota,GCA_003012045.1
Basidiomycota,GCA_002992925.1
Basidiomycota,GCA_900519155.1
Basidiomycota,GCA_900101485.1
Basidiomycota,GCA_023212755.1
Basidiomycota,GCA_000286035.1
Basidiomycota,GCA_001736195.1
Basidiomycota,GCA_001676635.1
Basidiomycota,GCA_033846815.1
Basidiomycota,GCA_928724775.1
Basidiomycota,GCA_002993085.1
Basidiomycota,GCA_001735935.1
Basidiomycota,GCA_001654535.1
Basidiomycota,GCA_023213265.1
Basidiomycota,GCA_001736075.1
Basidiomycota,GCA_022160365.1
Basidiomycota,GCA_003144235.1
Basidiomycota,GCA_951802395.1
Basidiomycota,GCA_000349905.1
Basidiomycota,GCA_001691835.3
Basidiomycota,GCA_000355865.1
Basidiomycota,GCA_951802405.1
Basidiomycota,GCA_000263375.1
Basidiomycota,GCF_000263375.1
Basidiomycota,GCA_000400465.1
Basidiomycota,GCF_000400465.1
Basidiomycota,GCA_004918325.1
Basidiomycota,GCA_004918485.1
Basidiomycota,GCA_004918075.1
Basidiomycota,GCA_004918905.1
Basidiomycota,GCA_004917925.1
Basidiomycota,GCA_004918925.1
Basidiomycota,GCA_004918805.1
Basidiomycota,GCA_004918835.1
Basidiomycota,GCA_004918635.1
Basidiomycota,GCA_004918645.1
Basidiomycota,GCA_004918985.1
Basidiomycota,GCA_004918605.1
Basidiomycota,GCA_004917975.1
Basidiomycota,GCA_004918025.1
Basidiomycota,GCA_004917935.1
Basidiomycota,GCA_004918155.1
Basidiomycota,GCA_004918915.1
Basidiomycota,GCA_004918005.1
Basidiomycota,GCA_004918795.1
Basidiomycota,GCA_004919005.1
Basidiomycota,GCA_004917965.1
Basidiomycota,GCA_004918515.1
Basidiomycota,GCA_004918665.1
Basidiomycota,GCA_004918525.1
Basidiomycota,GCA_004918995.1
Basidiomycota,GCA_004918725.1
Basidiomycota,GCA_004917865.1
Basidiomycota,GCA_004918305.1
Basidiomycota,GCA_004918405.1
Basidiomycota,GCA_004918655.1
Basidiomycota,GCA_004918735.1
Basidiomycota,GCA_004918885.1
Basidiomycota,GCA_004918235.1
Basidiomycota,GCA_004918455.1
Basidiomycota,GCA_004917895.1
Basidiomycota,GCA_004918445.1
Basidiomycota,GCA_004918315.1
Basidiomycota,GCA_004917845.1
Basidiomycota,GCA_004918895.1
Basidiomycota,GCA_004918015.1
Basidiomycota,GCA_004918065.1
Basidiomycota,GCA_004918625.1
Basidiomycota,GCA_004918345.1
Basidiomycota,GCA_004918745.1
Basidiomycota,GCA_004918415.1
Basidiomycota,GCA_004918335.1
Basidiomycota,GCA_004918755.1
Basidiomycota,GCA_029448655.1
Basidiomycota,GCA_034769205.1
Basidiomycota,GCA_022575935.1
Basidiomycota,GCA_029449265.1
Basidiomycota,GCA_029449215.1
Basidiomycota,GCA_000344635.1
Basidiomycota,GCA_003316335.1
