Phylum,Subphylum,Assembly
Ascomycota,Pezizomycotina,GCA_004154815.1
Ascomycota,Pezizomycotina,GCA_004634205.1
Ascomycota,Pezizomycotina,GCA_013282825.1
Ascomycota,Pezizomycotina,GCA_000174375.1
Ascomycota,Pezizomycotina,GCA_030704915.1
Ascomycota,Pezizomycotina,GCA_030704925.1
Ascomycota,Pezizomycotina,GCA_021613345.1
Ascomycota,Pezizomycotina,GCA_951284595.1
Ascomycota,Pezizomycotina,GCA_022814425.1
Ascomycota,Pezizomycotina,GCA_022345565.1
Ascomycota,Pezizomycotina,GCA_022345635.1
Ascomycota,Pezizomycotina,GCA_022345405.1
Ascomycota,Pezizomycotina,GCA_022345375.1
Ascomycota,Pezizomycotina,GCA_022345345.1
Ascomycota,Pezizomycotina,GCA_022345385.1
Ascomycota,Pezizomycotina,GCA_022345445.1
Ascomycota,Pezizomycotina,GCA_022345675.1
Ascomycota,Pezizomycotina,GCA_022345585.1
Ascomycota,Pezizomycotina,GCA_022345575.1
Ascomycota,Pezizomycotina,GCA_022345655.1
Ascomycota,Pezizomycotina,GCA_022345455.1
Ascomycota,Pezizomycotina,GCA_022345525.1
Ascomycota,Pezizomycotina,GCA_022345485.1
Ascomycota,Pezizomycotina,GCA_022345615.1
Ascomycota,Pezizomycotina,GCA_022345505.1
Ascomycota,Pezizomycotina,GCA_022345465.1
Ascomycota,Pezizomycotina,GCA_004634305.1
Ascomycota,Pezizomycotina,GCA_008973795.1
Ascomycota,Pezizomycotina,GCA_025426055.1
Ascomycota,Saccharomycotina,GCA_003707675.3
Ascomycota,Saccharomycotina,GCA_001599075.1
Ascomycota,Saccharomycotina,GCA_003705185.2
Ascomycota,Saccharomycotina,GCA_003707895.3
Ascomycota,Saccharomycotina,GCA_001599995.1
Ascomycota,Saccharomycotina,GCA_030557395.1
Ascomycota,Saccharomycotina,GCA_030568425.1
Ascomycota,Saccharomycotina,GCA_030567475.1
Ascomycota,Saccharomycotina,GCA_003705225.2
Ascomycota,Saccharomycotina,GCA_030572235.1
Ascomycota,Saccharomycotina,GCA_030567495.1
Ascomycota,Saccharomycotina,GCA_030579935.1
Ascomycota,Saccharomycotina,GCA_003706635.2
Ascomycota,Saccharomycotina,GCA_003706315.3
Ascomycota,Saccharomycotina,GCA_003243135.1
Ascomycota,Saccharomycotina,GCA_030561455.1
Ascomycota,Saccharomycotina,GCA_030579955.1
Ascomycota,Saccharomycotina,GCA_030267765.1
Ascomycota,Saccharomycotina,GCA_030267745.1
Ascomycota,Pezizomycotina,GCA_010015725.1
Ascomycota,Pezizomycotina,GCA_003019875.1
Ascomycota,Pezizomycotina,GCF_003019875.1
Ascomycota,Pezizomycotina,GCA_018167515.1
Ascomycota,Pezizomycotina,GCA_001270345.1
Ascomycota,Pezizomycotina,GCA_018398575.1
Ascomycota,Pezizomycotina,GCA_010094095.1
Ascomycota,Pezizomycotina,GCA_019669835.1
Ascomycota,Pezizomycotina,GCA_022496945.1
Ascomycota,Pezizomycotina,GCF_022496945.1
Ascomycota,Pezizomycotina,GCA_003314315.1
Ascomycota,Pezizomycotina,GCA_022496965.1
Ascomycota,Pezizomycotina,GCA_022578515.1
Ascomycota,Pezizomycotina,GCF_022578515.1
Ascomycota,Pezizomycotina,GCA_022695765.1
Ascomycota,Pezizomycotina,GCA_022836615.1
Ascomycota,Pezizomycotina,GCA_902805465.1
Ascomycota,Pezizomycotina,GCA_003049155.1
Ascomycota,Pezizomycotina,GCA_022695755.1
Ascomycota,Pezizomycotina,GCA_036872565.1
Ascomycota,Pezizomycotina,GCA_963556695.1
Ascomycota,Pezizomycotina,GCA_963556695.1
Ascomycota,Pezizomycotina,GCA_030549205.1
Ascomycota,Pezizomycotina,GCA_037074995.1
Ascomycota,Pezizomycotina,GCA_022605435.1
Ascomycota,Pezizomycotina,GCA_006508115.1
Ascomycota,Pezizomycotina,GCA_019976485.1
Ascomycota,Pezizomycotina,GCA_019000065.1
Ascomycota,Pezizomycotina,GCA_037075025.1
Ascomycota,Pezizomycotina,GCA_010093885.1
Ascomycota,Pezizomycotina,GCF_010093885.1
Ascomycota,Pezizomycotina,GCA_023079245.1
Ascomycota,Pezizomycotina,GCA_033439685.1
Ascomycota,Pezizomycotina,GCA_004000055.1
Ascomycota,Pezizomycotina,GCA_036971725.1
Ascomycota,Pezizomycotina,GCA_036971715.1
Ascomycota,Pezizomycotina,GCA_036971655.1
Ascomycota,Pezizomycotina,GCA_036971245.1
Ascomycota,Pezizomycotina,GCA_036971205.1
Ascomycota,Pezizomycotina,GCA_036971225.1
Ascomycota,Pezizomycotina,GCA_036971165.1
Ascomycota,Pezizomycotina,GCA_012184315.1
Ascomycota,Pezizomycotina,GCA_030406815.1
Ascomycota,Pezizomycotina,GCA_009651115.1
Ascomycota,Pezizomycotina,GCA_003590515.1
Ascomycota,Pezizomycotina,GCA_036971575.1
Ascomycota,Pezizomycotina,GCA_036971485.1
Ascomycota,Pezizomycotina,GCA_011692745.1
Ascomycota,Pezizomycotina,GCF_011692745.1
Ascomycota,Pezizomycotina,GCA_030789025.1
Ascomycota,Pezizomycotina,GCA_032351835.1
Ascomycota,Pezizomycotina,GCA_030789285.1
Ascomycota,Pezizomycotina,GCA_030411455.1
Ascomycota,Pezizomycotina,GCA_032989685.1
Ascomycota,Pezizomycotina,GCA_030015485.1
Ascomycota,Pezizomycotina,GCA_003788565.2
Ascomycota,Pezizomycotina,GCA_004011695.2
Ascomycota,Pezizomycotina,GCF_004011695.2
Ascomycota,Pezizomycotina,GCA_026119825.1
Ascomycota,Pezizomycotina,GCA_004011705.1
Ascomycota,Pezizomycotina,GCA_026119515.1
Ascomycota,Pezizomycotina,GCA_027946445.1
Ascomycota,Pezizomycotina,GCA_004335205.1
Ascomycota,Pezizomycotina,GCA_004335285.1
Ascomycota,Pezizomycotina,GCA_004335155.1
Ascomycota,Pezizomycotina,GCA_011037155.1
Ascomycota,Pezizomycotina,GCA_001630375.1
Ascomycota,Pezizomycotina,GCA_016097315.1
Ascomycota,Pezizomycotina,GCA_016097295.1
Ascomycota,Pezizomycotina,GCA_016097305.1
Ascomycota,Pezizomycotina,GCA_016097375.1
Ascomycota,Pezizomycotina,GCA_022607105.1
Ascomycota,Pezizomycotina,GCA_022606885.1
Ascomycota,Pezizomycotina,GCA_022606875.1
Ascomycota,Pezizomycotina,GCA_004335145.1
Ascomycota,Pezizomycotina,GCA_004335125.1
Ascomycota,Pezizomycotina,GCA_004335135.1
Ascomycota,Pezizomycotina,GCA_026119565.1
Ascomycota,Pezizomycotina,GCA_026547115.1
Ascomycota,Pezizomycotina,GCA_026119505.1
Ascomycota,Pezizomycotina,GCA_026119525.1
Ascomycota,Pezizomycotina,GCA_026119535.1
Ascomycota,Pezizomycotina,GCA_004151165.1
Ascomycota,Pezizomycotina,GCA_024372665.1
Ascomycota,Pezizomycotina,GCA_024372685.1
Ascomycota,Pezizomycotina,GCA_004151145.1
Ascomycota,Pezizomycotina,GCA_004151575.1
Ascomycota,Pezizomycotina,GCA_000328965.1
Ascomycota,Pezizomycotina,GCA_004786065.1
Ascomycota,Pezizomycotina,GCA_027569015.1
Ascomycota,Saccharomycotina,GCA_001661345.1
Ascomycota,Saccharomycotina,GCF_001661345.1
Ascomycota,Saccharomycotina,GCA_001600695.1
Ascomycota,Saccharomycotina,GCA_030560485.1
Ascomycota,Saccharomycotina,GCA_030572095.1
Ascomycota,Saccharomycotina,GCA_030572175.1
Ascomycota,Saccharomycotina,GCA_031126425.1
Ascomycota,Pezizomycotina,GCA_016861625.1
Ascomycota,Pezizomycotina,GCF_016861625.1
Ascomycota,Pezizomycotina,GCA_016861735.1
Ascomycota,Pezizomycotina,GCF_016861735.1
Ascomycota,Pezizomycotina,GCA_008274985.1
Ascomycota,Pezizomycotina,GCA_016861865.1
Ascomycota,Pezizomycotina,GCF_016861865.1
Ascomycota,Pezizomycotina,GCA_016413765.1
Ascomycota,Pezizomycotina,GCA_000011425.1
Ascomycota,Pezizomycotina,GCF_000011425.1
Ascomycota,Pezizomycotina,GCA_014117465.1
Ascomycota,Pezizomycotina,GCF_014117465.1
Ascomycota,Pezizomycotina,GCA_000002655.1
Ascomycota,Pezizomycotina,GCF_000002655.1
Ascomycota,Pezizomycotina,GCA_000184455.3
Ascomycota,Pezizomycotina,GCF_000184455.2
Ascomycota,Pezizomycotina,GCA_028505775.1
Ascomycota,Pezizomycotina,GCF_000002855.4
Ascomycota,Pezizomycotina,GCA_028505765.1
Ascomycota,Pezizomycotina,GCA_001890705.1
Ascomycota,Pezizomycotina,GCF_001890705.1
Ascomycota,Pezizomycotina,GCA_001890905.1
Ascomycota,Pezizomycotina,GCF_001890905.1
Ascomycota,Pezizomycotina,GCA_001890125.1
Ascomycota,Pezizomycotina,GCF_001890125.1
Ascomycota,Pezizomycotina,GCA_001890805.1
Ascomycota,Pezizomycotina,GCF_001890805.1
Ascomycota,Pezizomycotina,GCA_000149645.4
Ascomycota,Pezizomycotina,GCF_000149645.3
Ascomycota,Pezizomycotina,GCA_003184765.1
Ascomycota,Pezizomycotina,GCF_003184765.1
Ascomycota,Pezizomycotina,GCA_003426965.1
Ascomycota,Pezizomycotina,GCF_003426965.1
Ascomycota,Pezizomycotina,GCA_001078395.2
Ascomycota,Pezizomycotina,GCF_001078395.1
Ascomycota,Pezizomycotina,GCA_009176365.1
Ascomycota,Pezizomycotina,GCF_009176365.1
Ascomycota,Pezizomycotina,GCA_000002715.1
Ascomycota,Pezizomycotina,GCF_000002715.2
Ascomycota,Pezizomycotina,GCA_003184835.1
Ascomycota,Pezizomycotina,GCF_003184835.1
Ascomycota,Pezizomycotina,GCA_003184625.1
Ascomycota,Pezizomycotina,GCF_003184625.1
Ascomycota,Pezizomycotina,GCA_003184865.1
Ascomycota,Pezizomycotina,GCF_003184865.1
Ascomycota,Pezizomycotina,GCA_003184785.1
Ascomycota,Pezizomycotina,GCF_003184785.1
Ascomycota,Pezizomycotina,GCA_001204775.2
Ascomycota,Pezizomycotina,GCF_001204775.2
Ascomycota,Pezizomycotina,GCA_001889945.1
Ascomycota,Pezizomycotina,GCA_002849105.1
Ascomycota,Pezizomycotina,GCF_002849105.1
Ascomycota,Pezizomycotina,GCA_002847465.1
Ascomycota,Pezizomycotina,GCF_002847465.1
Ascomycota,Pezizomycotina,GCA_003184525.1
Ascomycota,Pezizomycotina,GCF_003184525.1
Ascomycota,Pezizomycotina,GCA_003184535.1
Ascomycota,Pezizomycotina,GCF_003184535.1
Ascomycota,Pezizomycotina,GCA_027569145.1
Ascomycota,Pezizomycotina,GCA_027569045.1
Ascomycota,Pezizomycotina,GCA_003184925.1
Ascomycota,Pezizomycotina,GCF_003184925.1
Ascomycota,Pezizomycotina,GCA_003184545.1
Ascomycota,Pezizomycotina,GCF_003184545.1
Ascomycota,Pezizomycotina,GCA_003184755.1
Ascomycota,Pezizomycotina,GCF_003184755.1
Ascomycota,Pezizomycotina,GCA_014250555.1
Ascomycota,Pezizomycotina,GCA_009193525.1
Ascomycota,Pezizomycotina,GCA_003184825.1
Ascomycota,Pezizomycotina,GCF_003184825.1
Ascomycota,Pezizomycotina,GCA_003184845.1
Ascomycota,Pezizomycotina,GCF_003184845.1
Ascomycota,Pezizomycotina,GCA_003184745.1
Ascomycota,Pezizomycotina,GCF_003184745.1
Ascomycota,Pezizomycotina,GCA_013305525.1
Ascomycota,Pezizomycotina,GCA_009193505.1
Ascomycota,Pezizomycotina,GCA_003184695.1
Ascomycota,Pezizomycotina,GCF_003184695.1
Ascomycota,Pezizomycotina,GCA_009176405.1
Ascomycota,Pezizomycotina,GCA_001792695.1
Ascomycota,Pezizomycotina,GCF_001792695.1
Ascomycota,Pezizomycotina,GCA_003369625.1
Ascomycota,Pezizomycotina,GCF_003369625.1
Ascomycota,Pezizomycotina,GCA_009193645.1
Ascomycota,Pezizomycotina,GCF_009193645.1
Ascomycota,Pezizomycotina,GCA_002850765.1
Ascomycota,Pezizomycotina,GCA_009193665.1
Ascomycota,Pezizomycotina,GCA_009176345.1
Ascomycota,Pezizomycotina,GCA_009193595.1
Ascomycota,Pezizomycotina,GCA_009193585.1
Ascomycota,Pezizomycotina,GCF_009193585.1
Ascomycota,Pezizomycotina,GCA_025688805.1
Ascomycota,Pezizomycotina,GCA_009193565.1
Ascomycota,Pezizomycotina,GCA_003184635.1
Ascomycota,Pezizomycotina,GCA_003184685.1
Ascomycota,Pezizomycotina,GCA_003184645.1
Ascomycota,Pezizomycotina,GCA_016097325.1
Ascomycota,Pezizomycotina,GCF_016097325.1
Ascomycota,Pezizomycotina,GCA_027569115.1
Ascomycota,Pezizomycotina,GCA_027569695.1
Ascomycota,Pezizomycotina,GCA_027569885.1
Ascomycota,Pezizomycotina,GCA_027569055.1
Ascomycota,Pezizomycotina,GCA_027569205.1
Ascomycota,Pezizomycotina,GCA_027569235.1
Ascomycota,Pezizomycotina,GCA_027569095.1
Ascomycota,Pezizomycotina,GCA_027569065.1
Ascomycota,Pezizomycotina,GCA_027569665.1
Ascomycota,Pezizomycotina,GCA_027569075.1
Ascomycota,Pezizomycotina,GCA_027569185.1
Ascomycota,Pezizomycotina,GCA_015844325.1
Ascomycota,Pezizomycotina,GCA_020284055.1
Ascomycota,Pezizomycotina,GCA_013421405.2
Ascomycota,Pezizomycotina,GCA_001696595.2
Ascomycota,Pezizomycotina,GCA_003719405.1
Ascomycota,Pezizomycotina,GCA_003589665.1
Ascomycota,Pezizomycotina,GCA_003719415.1
Ascomycota,Pezizomycotina,GCA_000149615.1
Ascomycota,Pezizomycotina,GCF_000149615.1
Ascomycota,Pezizomycotina,GCA_034509305.1
Ascomycota,Pezizomycotina,GCA_013340325.1
Ascomycota,Pezizomycotina,GCF_013340325.1
Ascomycota,Pezizomycotina,GCA_001990825.1
Ascomycota,Pezizomycotina,GCA_003344945.1
Ascomycota,Pezizomycotina,GCF_003344945.1
Ascomycota,Pezizomycotina,GCA_020826735.1
Ascomycota,Pezizomycotina,GCA_004849945.1
Ascomycota,Pezizomycotina,GCA_030556085.1
Ascomycota,Pezizomycotina,GCA_019976475.1
Ascomycota,Pezizomycotina,GCA_004769165.1
Ascomycota,Pezizomycotina,GCA_001511075.1
Ascomycota,Pezizomycotina,GCA_023601865.2
Ascomycota,Pezizomycotina,GCF_023601865.1
Ascomycota,Pezizomycotina,GCA_025592505.1
Ascomycota,Pezizomycotina,GCA_018408605.1
Ascomycota,Pezizomycotina,GCA_018340605.1
Ascomycota,Pezizomycotina,GCF_018340605.1
Ascomycota,Pezizomycotina,GCA_021436935.1
Ascomycota,Pezizomycotina,GCA_002927005.1
Ascomycota,Pezizomycotina,GCA_018404265.1
Ascomycota,Pezizomycotina,GCF_018404265.1
Ascomycota,Pezizomycotina,GCA_009193545.1
Ascomycota,Pezizomycotina,GCA_002215965.1
Ascomycota,Pezizomycotina,GCA_009193445.1
Ascomycota,Pezizomycotina,GCF_009193445.1
Ascomycota,Pezizomycotina,GCA_010724455.1
